key,value,count
tourism,hotel,315
tourism,information,77
tourism,artwork,56
tourism,picnic_site,48
tourism,viewpoint,47
tourism,guest_house,37
tourism,museum,31
tourism,camp_site,26
tourism,hostel,18
tourism,motel,16
tourism,attraction,10
tourism,gallery,3
tourism,caravan_site,1
